Guyana,GUY,5173759528,5471256595
Honduras,HND,25089976947,23827840810
Croatia,HRV,60752588976,55966581780
Haiti,HTI,14332163266,13417997065
Hungary,HUN,1.64E+11,1.55E+11
Indonesia,IDN,1.12E+12,1.06E+12
India,IND,2.87E+12,2.62E+12
Ireland,IRL,3.99E+11,4.19E+11
Iraq,IRQ,2.22E+11,1.67E+11
Iceland,ISL,24836714771,21714670570
Israel,ISR,3.95E+11,4.02E+11
Italy,ITA,2E+12,1.89E+12
Jamaica,JAM,15830768550,13812421803
Jordan,JOR,44502895915,43697659275
Kazakhstan,KAZ,1.82E+11,1.7E+11
Kenya,KEN,95503088538,98842939649
Cambodia,KHM,27089389787,25291251427
Kiribati,KIR,194647201.9,199573326
Lebanon,LBN,51991634492,33383246858
Liberia,LBR,3070518100,2950000000
Libya,LBY,52091152228,25418461532
Sri Lanka,LKA,83975584254,80706600229
Lesotho,LSO,2366213069,1844510138
Lithuania,LTU,54639938780,55887271833
Luxembourg,LUX,71104919108,73263982103
Latvia,LVA,34055464655,33505185229
Morocco,MAR,1.2E+11,1.13E+11
Moldova,MDA,11968699006,11914040905
Madagascar,MDG,14191911512,13720634105
Maldives,MDV,5642179170,4030203167
Mexico,MEX,1.27E+12,1.08E+12
Mali,MLI,17281815734,17393761397
Malta,MLT,15215714309,14647384608
Mongolia,MNG,13996719329,13137128659
Mozambique,MOZ,15291448212,14021421106
Mauritania,MRT,7600650038,7778525643
Mauritius,MUS,14046337855,10914065306
Malawi,MWI,10862613622,11961848553
Malaysia,MYS,3.65E+11,3.37E+11
Namibia,NAM,12565772085,10699926683
Niger,NER,12911689659,13678234008
Nigeria,NGA,4.48E+11,4.32E+11
Nicaragua,NIC,12611218627,12621476264
Netherlands,NLD,9.07E+11,9.12E+11
Norway,NOR,4.06E+11,3.62E+11
Nepal,NPL,34186180695,33657175561
New Zealand,NZL,2.09E+11,2.12E+11
Pakistan,PAK,2.78E+11,2.64E+11
Panama,PAN,66787900000,52938100000
Peru,PER,2.28E+11,2.02E+11
Philippines,PHL,3.77E+11,3.61E+11
Papua New Guinea,PNG,24829107011,23591523025
Poland,POL,5.96E+11,5.94E+11
Puerto Rico,PRI,1.05E+11,1.03E+11
Portugal,PRT,2.4E+11,2.31E+11
Paraguay,PRY,37906944075,35304238230
Qatar,QAT,1.76E+11,1.46E+11
Romania,ROU,2.5E+11,2.49E+11
Rwanda,RWA,10355974217,10333991892
Saudi Arabia,SAU,7.93E+11,7E+11
Sudan,SDN,32250448249,26110829190
Senegal,SEN,23306213742,24910904236
Singapore,SGP,3.74E+11,3.4E+11
Solomon Islands,SLB,1570215577,1551245526
Sierra Leone,SLE,4121733705,3865018883
El Salvador,SLV,26896660000,24638720000
Somalia,SOM,4942319041,4917607582
Serbia,SRB,51475016532,52960134079
Suriname,SUR,4221373022,3807922874
Slovenia,SVN,54174227309,52880473700
Sweden,SWE,5.31E+11,5.38E+11
Seychelles,SYC,1581380269,1124937500
Chad,TCD,11314951343,10093118570
Togo,TGO,7220395248,7574635241
Thailand,THA,5.44E+11,5.02E+11
Tajikistan,TJK,8300784857,8194150302
Tunisia,TUN,39195716330,39235672868
Turkey,TUR,7.61E+11,7.2E+11
Tuvalu,TUV,47271463.33,48855550.2
Tanzania,TZA,61136873747,62409748427
Uganda,UGA,35170037381,37372032558
Ukraine,UKR,1.54E+11,1.56E+11
Uruguay,URY,61231149881,53628827440
United States,USA,2.14E+13,2.09E+13
Uzbekistan,UZB,57726542785,57707189945
Vietnam,VNM,2.62E+11,2.71E+11
Vanuatu,VUT,930337960,854793640.1
Samoa,WSM,852250191,807027244.4
South Africa,ZAF,3.51E+11,3.02E+11
Zambia,ZMB,23308688906,19320053859
Zimbabwe,ZWE,16932434839,16768513443
