Country Name,Country Code,2019,2020
Afghanistan,AFG,19291104008,19807067268
Angola,AGO,89417190341,62306913444
Albania,ALB,15286612573,14799615097
Argentina,ARG,4.45E+11,3.83E+11
Armenia,ARM,13672802158,12645459214
Australia,AUS,1.4E+12,1.33E+12
Austria,AUT,4.45E+11,4.29E+11
Azerbaijan,AZE,48174235294,42607176471
Burundi,BDI,3012308946,3258187233
Belgium,BEL,5.33E+11,5.15E+11
Benin,BEN,14391686309,15651545209
Burkina Faso,BFA,15990803570,17369059295
Bangladesh,BGD,3.03E+11,3.24E+11
Bulgaria,BGR,68558815112,69105101090
"Bahamas, The",BHS,13578800000,11250000000
Belarus,BLR,64409647194,60258239056
Belize,BLZ,1982518541,1763696119
Bolivia,BOL,40895322851,36688861203
Brazil,BRA,1.88E+12,1.44E+12
Barbados,BRB,5209000000,4365500000
Bhutan,BTN,2530547158,2409262838
Botswana,BWA,18362348888,15781732826
Canada,CAN,1.74E+12,1.64E+12
Switzerland,CHE,7.31E+11,7.48E+11
Chile,CHL,2.79E+11,2.53E+11
China,CHN,1.43E+13,1.47E+13
Cote d'Ivoire,CIV,58539424930,61348579465
Cameroon,CMR,39007354359,39802147568
"Congo, Dem. Rep.",COD,50400746171,49868970641
Colombia,COL,3.23E+11,2.71E+11
Comoros,COM,1165839900,1219690025
Costa Rica,CRI,63951114302,61520669890
Cyprus,CYP,24949065264,23804340377
Czech Republic,CZE,2.51E+11,2.44E+11
Germany,DEU,3.86E+12,3.81E+12
Djibouti,DJI,3324634256,3384404260
Dominica,DMA,574607407.4,469870370.4
Denmark,DNK,3.5E+11,3.55E+11
Dominican Republic,DOM,88941299734,78844702329
Algeria,DZA,1.71E+11,1.45E+11
Ecuador,ECU,1.08E+11,98808010000
Spain,ESP,1.39E+12,1.28E+12
Estonia,EST,31471100656,31029968591
Ethiopia,ETH,95912590628,1.08E+11
Finland,FIN,2.69E+11,2.71E+11
Fiji,FJI,5496250694,4376014756
France,FRA,2.72E+12,2.6E+12
Gabon,GAB,16874450215,15593181271
United Kingdom,GBR,2.83E+12,2.71E+12
Georgia,GEO,17477255562,15891688903
Ghana,GHA,67234292583,72354428865
Guinea,GIN,13513809258,15681050917
"Gambia, The",GMB,1826073740,1901930158
Guinea-Bissau,GNB,1439638443,1431758243
Equatorial Guinea,GNQ,11417278045,10021856754
Greece,GRC,2.05E+11,1.89E+11
Grenada,GRD,1211403704,1089203704
Guatemala,GTM,77020015201,77604632171
