Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
CT3,NO,01/01/2017 00:00,3.50000,ug m-3,R
CT3,NO,01/01/2017 01:00,3.60000,ug m-3,R
CT3,NO,01/01/2017 02:00,2.20000,ug m-3,R
CT3,NO,01/01/2017 03:00,2.10000,ug m-3,R
CT3,NO,01/01/2017 04:00,3.30000,ug m-3,R
CT3,NO,01/01/2017 05:00,2.10000,ug m-3,R
CT3,NO,01/01/2017 06:00,4.40000,ug m-3,R
CT3,NO,01/01/2017 07:00,5.10000,ug m-3,R
CT3,NO,01/01/2017 08:00,7.40000,ug m-3,R
CT3,NO,01/01/2017 09:00,6.50000,ug m-3,R
CT3,NO,01/01/2017 10:00,4.60000,ug m-3,R
CT3,NO,01/01/2017 11:00,3.70000,ug m-3,R
CT3,NO,01/01/2017 12:00,3.30000,ug m-3,R
CT3,NO,01/01/2017 13:00,3.00000,ug m-3,R
CT3,NO,01/01/2017 14:00,3.50000,ug m-3,R
CT3,NO,01/01/2017 15:00,3.70000,ug m-3,R
CT3,NO,01/01/2017 16:00,3.50000,ug m-3,R
CT3,NO,01/01/2017 17:00,3.40000,ug m-3,R
CT3,NO,01/01/2017 18:00,3.50000,ug m-3,R
CT3,NO,01/01/2017 19:00,2.40000,ug m-3,R
CT3,NO,01/01/2017 20:00,2.50000,ug m-3,R
CT3,NO,01/01/2017 21:00,4.00000,ug m-3,R
CT3,NO,01/01/2017 22:00,4.00000,ug m-3,R
CT3,NO,01/01/2017 23:00,3.80000,ug m-3,R
CT3,NO,02/01/2017 00:00,5.20000,ug m-3,R
CT3,NO,02/01/2017 01:00,2.30000,ug m-3,R
CT3,NO,02/01/2017 02:00,2.30000,ug m-3,R
CT3,NO,02/01/2017 03:00,3.20000,ug m-3,R
CT3,NO,02/01/2017 04:00,5.40000,ug m-3,R
CT3,NO,02/01/2017 05:00,6.60000,ug m-3,R
CT3,NO,02/01/2017 06:00,4.70000,ug m-3,R
CT3,NO,02/01/2017 07:00,6.20000,ug m-3,R
CT3,NO,02/01/2017 08:00,4.00000,ug m-3,R
CT3,NO,02/01/2017 09:00,6.10000,ug m-3,R
CT3,NO,02/01/2017 10:00,6.40000,ug m-3,R
CT3,NO,02/01/2017 11:00,6.60000,ug m-3,R
CT3,NO,02/01/2017 12:00,7.10000,ug m-3,R
CT3,NO,02/01/2017 13:00,7.00000,ug m-3,R
CT3,NO,02/01/2017 14:00,7.70000,ug m-3,R
CT3,NO,02/01/2017 15:00,7.30000,ug m-3,R
CT3,NO,02/01/2017 16:00,8.90000,ug m-3,R
CT3,NO,02/01/2017 17:00,17.60000,ug m-3,R
CT3,NO,02/01/2017 18:00,29.60000,ug m-3,R
CT3,NO,02/01/2017 19:00,23.30000,ug m-3,R
CT3,NO,02/01/2017 20:00,19.80000,ug m-3,R
CT3,NO,02/01/2017 21:00,24.20000,ug m-3,R
CT3,NO,02/01/2017 22:00,26.20000,ug m-3,R
CT3,NO,02/01/2017 23:00,47.10000,ug m-3,R
CT3,NO,03/01/2017 00:00,48.60000,ug m-3,R
CT3,NO,03/01/2017 01:00,37.80000,ug m-3,R
CT3,NO,03/01/2017 02:00,38.00000,ug m-3,R
CT3,NO,03/01/2017 03:00,34.10000,ug m-3,R
CT3,NO,03/01/2017 04:00,20.50000,ug m-3,R
CT3,NO,03/01/2017 05:00,13.40000,ug m-3,R
CT3,NO,03/01/2017 06:00,21.50000,ug m-3,R
CT3,NO,03/01/2017 07:00,42.10000,ug m-3,R
CT3,NO,03/01/2017 08:00,65.30000,ug m-3,R
CT3,NO,03/01/2017 09:00,77.40000,ug m-3,R
CT3,NO,03/01/2017 10:00,85.40000,ug m-3,R
CT3,NO,03/01/2017 11:00,60.70000,ug m-3,R
CT3,NO,03/01/2017 12:00,42.90000,ug m-3,R
CT3,NO,03/01/2017 13:00,36.20000,ug m-3,R
CT3,NO,03/01/2017 14:00,33.00000,ug m-3,R
CT3,NO,03/01/2017 15:00,13.50000,ug m-3,R
CT3,NO,03/01/2017 16:00,17.60000,ug m-3,R
CT3,NO,03/01/2017 17:00,23.70000,ug m-3,R
CT3,NO,03/01/2017 18:00,28.30000,ug m-3,R
CT3,NO,03/01/2017 19:00,33.40000,ug m-3,R
CT3,NO,03/01/2017 20:00,17.60000,ug m-3,R
CT3,NO,03/01/2017 21:00,11.60000,ug m-3,R
CT3,NO,03/01/2017 22:00,9.80000,ug m-3,R
CT3,NO,03/01/2017 23:00,7.40000,ug m-3,R
CT3,NO,04/01/2017 00:00,5.30000,ug m-3,R
CT3,NO,04/01/2017 01:00,3.50000,ug m-3,R
CT3,NO,04/01/2017 02:00,3.60000,ug m-3,R
CT3,NO,04/01/2017 03:00,4.10000,ug m-3,R
CT3,NO,04/01/2017 04:00,5.50000,ug m-3,R
CT3,NO,04/01/2017 05:00,10.00000,ug m-3,R
CT3,NO,04/01/2017 06:00,27.90000,ug m-3,R
CT3,NO,04/01/2017 07:00,28.80000,ug m-3,R
CT3,NO,04/01/2017 08:00,39.80000,ug m-3,R
CT3,NO,04/01/2017 09:00,36.40000,ug m-3,R
CT3,NO,04/01/2017 10:00,36.80000,ug m-3,R
CT3,NO,04/01/2017 11:00,24.60000,ug m-3,R
CT3,NO,04/01/2017 12:00,,ug m-3,R
CT3,NO,04/01/2017 13:00,10.30000,ug m-3,R
CT3,NO,04/01/2017 14:00,8.70000,ug m-3,R
CT3,NO,04/01/2017 15:00,8.10000,ug m-3,R
CT3,NO,04/01/2017 16:00,9.70000,ug m-3,R
CT3,NO,04/01/2017 17:00,14.00000,ug m-3,R
CT3,NO,04/01/2017 18:00,17.10000,ug m-3,R
CT3,NO,04/01/2017 19:00,18.40000,ug m-3,R
CT3,NO,04/01/2017 20:00,18.20000,ug m-3,R
CT3,NO,04/01/2017 21:00,16.50000,ug m-3,R
CT3,NO,04/01/2017 22:00,16.40000,ug m-3,R
CT3,NO,04/01/2017 23:00,14.80000,ug m-3,R
CT3,NO,05/01/2017 00:00,10.40000,ug m-3,R
CT3,NO,05/01/2017 01:00,6.50000,ug m-3,R
CT3,NO,05/01/2017 02:00,9.70000,ug m-3,R
CT3,NO,05/01/2017 03:00,6.40000,ug m-3,R
CT3,NO,05/01/2017 04:00,10.40000,ug m-3,R
CT3,NO,05/01/2017 05:00,13.20000,ug m-3,R
CT3,NO,05/01/2017 06:00,22.50000,ug m-3,R
CT3,NO,05/01/2017 07:00,39.60000,ug m-3,R
CT3,NO,05/01/2017 08:00,34.20000,ug m-3,R
CT3,NO,05/01/2017 09:00,55.00000,ug m-3,R
CT3,NO,05/01/2017 10:00,49.00000,ug m-3,R
CT3,NO,05/01/2017 11:00,52.90000,ug m-3,R
CT3,NO,05/01/2017 12:00,77.80000,ug m-3,R
CT3,NO,05/01/2017 13:00,133.50000,ug m-3,R
CT3,NO,05/01/2017 14:00,44.40000,ug m-3,R
CT3,NO,05/01/2017 15:00,31.70000,ug m-3,R
CT3,NO,05/01/2017 16:00,51.60000,ug m-3,R
CT3,NO,05/01/2017 17:00,76.30000,ug m-3,R
CT3,NO,05/01/2017 18:00,115.60000,ug m-3,R
CT3,NO,05/01/2017 19:00,149.50000,ug m-3,R
CT3,NO,05/01/2017 20:00,215.20000,ug m-3,R
CT3,NO,05/01/2017 21:00,169.10001,ug m-3,R
CT3,NO,05/01/2017 22:00,142.50000,ug m-3,R
CT3,NO,05/01/2017 23:00,115.70000,ug m-3,R
CT3,NO,06/01/2017 00:00,177.70000,ug m-3,R
CT3,NO,06/01/2017 01:00,191.70000,ug m-3,R
CT3,NO,06/01/2017 02:00,113.00000,ug m-3,R
CT3,NO,06/01/2017 03:00,110.70000,ug m-3,R
CT3,NO,06/01/2017 04:00,154.50000,ug m-3,R
CT3,NO,06/01/2017 05:00,131.89999,ug m-3,R
CT3,NO,06/01/2017 06:00,82.30000,ug m-3,R
CT3,NO,06/01/2017 07:00,58.60000,ug m-3,R
CT3,NO,06/01/2017 08:00,54.30000,ug m-3,R
CT3,NO,06/01/2017 09:00,42.90000,ug m-3,R
CT3,NO,06/01/2017 10:00,,ug m-3,R
CT3,NO,06/01/2017 11:00,,ug m-3,R
CT3,NO,06/01/2017 12:00,23.20000,ug m-3,R
CT3,NO,06/01/2017 13:00,18.60000,ug m-3,R
CT3,NO,06/01/2017 14:00,12.60000,ug m-3,R
CT3,NO,06/01/2017 15:00,12.80000,ug m-3,R
CT3,NO,06/01/2017 16:00,11.70000,ug m-3,R
CT3,NO,06/01/2017 17:00,17.00000,ug m-3,R
CT3,NO,06/01/2017 18:00,8.60000,ug m-3,R
CT3,NO,06/01/2017 19:00,5.70000,ug m-3,R
CT3,NO,06/01/2017 20:00,3.60000,ug m-3,R
CT3,NO,06/01/2017 21:00,3.40000,ug m-3,R
CT3,NO,06/01/2017 22:00,2.30000,ug m-3,R
CT3,NO,06/01/2017 23:00,2.20000,ug m-3,R
