Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
CT3,NO,07/01/2017 00:00,1.20000,ug m-3,R
CT3,NO,07/01/2017 01:00,1.20000,ug m-3,R
CT3,NO,07/01/2017 02:00,0.80000,ug m-3,R
CT3,NO,07/01/2017 03:00,1.20000,ug m-3,R
CT3,NO,07/01/2017 04:00,2.00000,ug m-3,R
CT3,NO,07/01/2017 05:00,3.40000,ug m-3,R
CT3,NO,07/01/2017 06:00,11.30000,ug m-3,R
CT3,NO,07/01/2017 07:00,27.10000,ug m-3,R
CT3,NO,07/01/2017 08:00,33.70000,ug m-3,R
CT3,NO,07/01/2017 09:00,54.00000,ug m-3,R
CT3,NO,07/01/2017 10:00,44.50000,ug m-3,R
CT3,NO,07/01/2017 11:00,45.10000,ug m-3,R
CT3,NO,07/01/2017 12:00,41.70000,ug m-3,R
CT3,NO,07/01/2017 13:00,21.30000,ug m-3,R
CT3,NO,07/01/2017 14:00,22.60000,ug m-3,R
CT3,NO,07/01/2017 15:00,28.70000,ug m-3,R
CT3,NO,07/01/2017 16:00,24.70000,ug m-3,R
CT3,NO,07/01/2017 17:00,34.50000,ug m-3,R
CT3,NO,07/01/2017 18:00,32.50000,ug m-3,R
CT3,NO,07/01/2017 19:00,43.20000,ug m-3,R
CT3,NO,07/01/2017 20:00,47.30000,ug m-3,R
CT3,NO,07/01/2017 21:00,100.20000,ug m-3,R
CT3,NO,07/01/2017 22:00,87.00000,ug m-3,R
CT3,NO,07/01/2017 23:00,39.90000,ug m-3,R
CT3,NO,08/01/2017 00:00,39.30000,ug m-3,R
CT3,NO,08/01/2017 01:00,24.40000,ug m-3,R
CT3,NO,08/01/2017 02:00,17.50000,ug m-3,R
CT3,NO,08/01/2017 03:00,13.20000,ug m-3,R
CT3,NO,08/01/2017 04:00,14.30000,ug m-3,R
CT3,NO,08/01/2017 05:00,11.20000,ug m-3,R
CT3,NO,08/01/2017 06:00,30.50000,ug m-3,R
CT3,NO,08/01/2017 07:00,46.20000,ug m-3,R
CT3,NO,08/01/2017 08:00,37.00000,ug m-3,R
CT3,NO,08/01/2017 09:00,66.50000,ug m-3,R
CT3,NO,08/01/2017 10:00,62.80000,ug m-3,R
CT3,NO,08/01/2017 11:00,32.90000,ug m-3,R
CT3,NO,08/01/2017 12:00,16.10000,ug m-3,R
CT3,NO,08/01/2017 13:00,11.60000,ug m-3,R
CT3,NO,08/01/2017 14:00,6.60000,ug m-3,R
CT3,NO,08/01/2017 15:00,7.00000,ug m-3,R
CT3,NO,08/01/2017 16:00,7.20000,ug m-3,R
CT3,NO,08/01/2017 17:00,18.50000,ug m-3,R
CT3,NO,08/01/2017 18:00,12.20000,ug m-3,R
CT3,NO,08/01/2017 19:00,14.40000,ug m-3,R
CT3,NO,08/01/2017 20:00,19.90000,ug m-3,R
CT3,NO,08/01/2017 21:00,17.70000,ug m-3,R
CT3,NO,08/01/2017 22:00,20.30000,ug m-3,R
CT3,NO,08/01/2017 23:00,10.10000,ug m-3,R
CT3,NO,09/01/2017 00:00,1.30000,ug m-3,R
CT3,NO,09/01/2017 01:00,1.60000,ug m-3,R
CT3,NO,09/01/2017 02:00,1.50000,ug m-3,R
CT3,NO,09/01/2017 03:00,2.50000,ug m-3,R
CT3,NO,09/01/2017 04:00,2.50000,ug m-3,R
CT3,NO,09/01/2017 05:00,3.50000,ug m-3,R
CT3,NO,09/01/2017 06:00,6.90000,ug m-3,R
CT3,NO,09/01/2017 07:00,10.20000,ug m-3,R
CT3,NO,09/01/2017 08:00,11.10000,ug m-3,R
CT3,NO,09/01/2017 09:00,14.50000,ug m-3,R
CT3,NO,09/01/2017 10:00,14.30000,ug m-3,R
CT3,NO,09/01/2017 11:00,9.30000,ug m-3,R
CT3,NO,09/01/2017 12:00,8.60000,ug m-3,R
CT3,NO,09/01/2017 13:00,9.40000,ug m-3,R
CT3,NO,09/01/2017 14:00,7.10000,ug m-3,R
CT3,NO,09/01/2017 15:00,4.90000,ug m-3,R
CT3,NO,09/01/2017 16:00,4.20000,ug m-3,R
CT3,NO,09/01/2017 17:00,3.90000,ug m-3,R
CT3,NO,09/01/2017 18:00,14.30000,ug m-3,R
CT3,NO,09/01/2017 19:00,9.60000,ug m-3,R
CT3,NO,09/01/2017 20:00,11.10000,ug m-3,R
CT3,NO,09/01/2017 21:00,13.80000,ug m-3,R
CT3,NO,09/01/2017 22:00,11.80000,ug m-3,R
CT3,NO,09/01/2017 23:00,5.40000,ug m-3,R
CT3,NO,10/01/2017 00:00,4.60000,ug m-3,R
CT3,NO,10/01/2017 01:00,3.00000,ug m-3,R
CT3,NO,10/01/2017 02:00,3.00000,ug m-3,R
CT3,NO,10/01/2017 03:00,2.60000,ug m-3,R
CT3,NO,10/01/2017 04:00,3.20000,ug m-3,R
CT3,NO,10/01/2017 05:00,6.90000,ug m-3,R
CT3,NO,10/01/2017 06:00,9.70000,ug m-3,R
CT3,NO,10/01/2017 07:00,26.90000,ug m-3,R
CT3,NO,10/01/2017 08:00,55.60000,ug m-3,R
CT3,NO,10/01/2017 09:00,66.40000,ug m-3,R
CT3,NO,10/01/2017 10:00,71.20000,ug m-3,R
CT3,NO,10/01/2017 11:00,43.40000,ug m-3,R
CT3,NO,10/01/2017 12:00,32.90000,ug m-3,R
CT3,NO,10/01/2017 13:00,29.40000,ug m-3,R
CT3,NO,10/01/2017 14:00,18.90000,ug m-3,R
CT3,NO,10/01/2017 15:00,34.50000,ug m-3,R
CT3,NO,10/01/2017 16:00,21.50000,ug m-3,R
CT3,NO,10/01/2017 17:00,28.00000,ug m-3,R
CT3,NO,10/01/2017 18:00,34.30000,ug m-3,R
CT3,NO,10/01/2017 19:00,19.10000,ug m-3,R
CT3,NO,10/01/2017 20:00,17.00000,ug m-3,R
CT3,NO,10/01/2017 21:00,9.40000,ug m-3,R
CT3,NO,10/01/2017 22:00,10.20000,ug m-3,R
CT3,NO,10/01/2017 23:00,4.10000,ug m-3,R
CT3,NO,11/01/2017 00:00,2.30000,ug m-3,R
CT3,NO,11/01/2017 01:00,1.50000,ug m-3,R
CT3,NO,11/01/2017 02:00,1.30000,ug m-3,R
CT3,NO,11/01/2017 03:00,1.30000,ug m-3,R
CT3,NO,11/01/2017 04:00,3.10000,ug m-3,R
CT3,NO,11/01/2017 05:00,4.70000,ug m-3,R
CT3,NO,11/01/2017 06:00,15.40000,ug m-3,R
CT3,NO,11/01/2017 07:00,24.10000,ug m-3,R
CT3,NO,11/01/2017 08:00,37.20000,ug m-3,R
CT3,NO,11/01/2017 09:00,65.60000,ug m-3,R
CT3,NO,11/01/2017 10:00,44.70000,ug m-3,R
CT3,NO,11/01/2017 11:00,16.60000,ug m-3,R
CT3,NO,11/01/2017 12:00,19.90000,ug m-3,R
CT3,NO,11/01/2017 13:00,15.60000,ug m-3,R
CT3,NO,11/01/2017 14:00,11.90000,ug m-3,R
CT3,NO,11/01/2017 15:00,9.10000,ug m-3,R
CT3,NO,11/01/2017 16:00,15.80000,ug m-3,R
CT3,NO,11/01/2017 17:00,15.80000,ug m-3,R
CT3,NO,11/01/2017 18:00,13.90000,ug m-3,R
CT3,NO,11/01/2017 19:00,12.80000,ug m-3,R
CT3,NO,11/01/2017 20:00,5.90000,ug m-3,R
CT3,NO,11/01/2017 21:00,6.90000,ug m-3,R
CT3,NO,11/01/2017 22:00,4.50000,ug m-3,R
CT3,NO,11/01/2017 23:00,4.00000,ug m-3,R
CT3,NO,12/01/2017 00:00,4.20000,ug m-3,R
CT3,NO,12/01/2017 01:00,2.90000,ug m-3,R
CT3,NO,12/01/2017 02:00,1.90000,ug m-3,R
CT3,NO,12/01/2017 03:00,0.90000,ug m-3,R
CT3,NO,12/01/2017 04:00,2.10000,ug m-3,R
CT3,NO,12/01/2017 05:00,3.00000,ug m-3,R
CT3,NO,12/01/2017 06:00,5.80000,ug m-3,R
CT3,NO,12/01/2017 07:00,8.40000,ug m-3,R
CT3,NO,12/01/2017 08:00,13.80000,ug m-3,R
CT3,NO,12/01/2017 09:00,16.70000,ug m-3,R
CT3,NO,12/01/2017 10:00,13.70000,ug m-3,R
CT3,NO,12/01/2017 11:00,13.30000,ug m-3,R
CT3,NO,12/01/2017 12:00,20.80000,ug m-3,R
CT3,NO,12/01/2017 13:00,15.20000,ug m-3,R
CT3,NO,12/01/2017 14:00,32.10000,ug m-3,R
CT3,NO,12/01/2017 15:00,12.50000,ug m-3,R
CT3,NO,12/01/2017 16:00,30.70000,ug m-3,R
CT3,NO,12/01/2017 17:00,11.90000,ug m-3,R
CT3,NO,12/01/2017 18:00,18.60000,ug m-3,R
CT3,NO,12/01/2017 19:00,11.30000,ug m-3,R
CT3,NO,12/01/2017 20:00,11.50000,ug m-3,R
CT3,NO,12/01/2017 21:00,12.90000,ug m-3,R
CT3,NO,12/01/2017 22:00,8.00000,ug m-3,R
CT3,NO,12/01/2017 23:00,6.50000,ug m-3,R
CT3,NO,13/01/2017 00:00,4.10000,ug m-3,R
CT3,NO,13/01/2017 01:00,2.30000,ug m-3,R
CT3,NO,13/01/2017 02:00,2.50000,ug m-3,R
CT3,NO,13/01/2017 03:00,3.40000,ug m-3,R
CT3,NO,13/01/2017 04:00,5.90000,ug m-3,R
CT3,NO,13/01/2017 05:00,11.70000,ug m-3,R
CT3,NO,13/01/2017 06:00,14.10000,ug m-3,R
CT3,NO,13/01/2017 07:00,23.40000,ug m-3,R
CT3,NO,13/01/2017 08:00,15.10000,ug m-3,R
CT3,NO,13/01/2017 09:00,21.90000,ug m-3,R
CT3,NO,13/01/2017 10:00,15.20000,ug m-3,R
CT3,NO,13/01/2017 11:00,21.60000,ug m-3,R
CT3,NO,13/01/2017 12:00,26.00000,ug m-3,R
CT3,NO,13/01/2017 13:00,20.40000,ug m-3,R
CT3,NO,13/01/2017 14:00,20.00000,ug m-3,R
CT3,NO,13/01/2017 15:00,22.90000,ug m-3,R
CT3,NO,13/01/2017 16:00,24.90000,ug m-3,R
CT3,NO,13/01/2017 17:00,21.90000,ug m-3,R
CT3,NO,13/01/2017 18:00,28.00000,ug m-3,R
CT3,NO,13/01/2017 19:00,21.80000,ug m-3,R
CT3,NO,13/01/2017 20:00,14.80000,ug m-3,R
CT3,NO,13/01/2017 21:00,12.80000,ug m-3,R
CT3,NO,13/01/2017 22:00,10.30000,ug m-3,R
CT3,NO,13/01/2017 23:00,9.60000,ug m-3,R
CT3,NO,14/01/2017 00:00,10.00000,ug m-3,R
CT3,NO,14/01/2017 01:00,6.60000,ug m-3,R
CT3,NO,14/01/2017 02:00,4.10000,ug m-3,R
CT3,NO,14/01/2017 03:00,3.80000,ug m-3,R
CT3,NO,14/01/2017 04:00,3.10000,ug m-3,R
CT3,NO,14/01/2017 05:00,3.00000,ug m-3,R
CT3,NO,14/01/2017 06:00,6.50000,ug m-3,R
CT3,NO,14/01/2017 07:00,12.60000,ug m-3,R
CT3,NO,14/01/2017 08:00,21.10000,ug m-3,R
CT3,NO,14/01/2017 09:00,38.40000,ug m-3,R
CT3,NO,14/01/2017 10:00,35.30000,ug m-3,R
CT3,NO,14/01/2017 11:00,30.10000,ug m-3,R
CT3,NO,14/01/2017 12:00,23.90000,ug m-3,R
CT3,NO,14/01/2017 13:00,17.20000,ug m-3,R
CT3,NO,14/01/2017 14:00,21.40000,ug m-3,R
CT3,NO,14/01/2017 15:00,44.50000,ug m-3,R
CT3,NO,14/01/2017 16:00,22.90000,ug m-3,R
CT3,NO,14/01/2017 17:00,26.30000,ug m-3,R
CT3,NO,14/01/2017 18:00,28.70000,ug m-3,R
CT3,NO,14/01/2017 19:00,22.50000,ug m-3,R
CT3,NO,14/01/2017 20:00,40.00000,ug m-3,R
CT3,NO,14/01/2017 21:00,34.80000,ug m-3,R
CT3,NO,14/01/2017 22:00,31.60000,ug m-3,R
CT3,NO,14/01/2017 23:00,37.00000,ug m-3,R
CT3,NO,15/01/2017 00:00,26.00000,ug m-3,R
CT3,NO,15/01/2017 01:00,21.00000,ug m-3,R
CT3,NO,15/01/2017 02:00,14.90000,ug m-3,R
CT3,NO,15/01/2017 03:00,9.80000,ug m-3,R
CT3,NO,15/01/2017 04:00,6.20000,ug m-3,R
CT3,NO,15/01/2017 05:00,4.90000,ug m-3,R
CT3,NO,15/01/2017 06:00,5.90000,ug m-3,R
CT3,NO,15/01/2017 07:00,11.00000,ug m-3,R
CT3,NO,15/01/2017 08:00,9.50000,ug m-3,R
CT3,NO,15/01/2017 09:00,15.10000,ug m-3,R
CT3,NO,15/01/2017 10:00,12.00000,ug m-3,R
CT3,NO,15/01/2017 11:00,15.10000,ug m-3,R
CT3,NO,15/01/2017 12:00,25.30000,ug m-3,R
CT3,NO,15/01/2017 13:00,15.90000,ug m-3,R
CT3,NO,15/01/2017 14:00,12.60000,ug m-3,R
CT3,NO,15/01/2017 15:00,17.10000,ug m-3,R
CT3,NO,15/01/2017 16:00,18.00000,ug m-3,R
CT3,NO,15/01/2017 17:00,15.60000,ug m-3,R
CT3,NO,15/01/2017 18:00,8.30000,ug m-3,R
CT3,NO,15/01/2017 19:00,5.30000,ug m-3,R
CT3,NO,15/01/2017 20:00,7.20000,ug m-3,R
CT3,NO,15/01/2017 21:00,6.40000,ug m-3,R
CT3,NO,15/01/2017 22:00,5.10000,ug m-3,R
CT3,NO,15/01/2017 23:00,5.10000,ug m-3,R
CT3,NO,16/01/2017 00:00,10.50000,ug m-3,R
CT3,NO,16/01/2017 01:00,5.70000,ug m-3,R
CT3,NO,16/01/2017 02:00,4.10000,ug m-3,R
CT3,NO,16/01/2017 03:00,3.20000,ug m-3,R
CT3,NO,16/01/2017 04:00,4.40000,ug m-3,R
CT3,NO,16/01/2017 05:00,6.60000,ug m-3,R
CT3,NO,16/01/2017 06:00,9.50000,ug m-3,R
CT3,NO,16/01/2017 07:00,24.40000,ug m-3,R
CT3,NO,16/01/2017 08:00,58.80000,ug m-3,R
CT3,NO,16/01/2017 09:00,42.20000,ug m-3,R
CT3,NO,16/01/2017 10:00,28.10000,ug m-3,R
CT3,NO,16/01/2017 11:00,35.20000,ug m-3,R
CT3,NO,16/01/2017 12:00,19.00000,ug m-3,R
CT3,NO,16/01/2017 13:00,25.20000,ug m-3,R
CT3,NO,16/01/2017 14:00,31.90000,ug m-3,R
CT3,NO,16/01/2017 15:00,15.50000,ug m-3,R
CT3,NO,16/01/2017 16:00,25.60000,ug m-3,R
CT3,NO,16/01/2017 17:00,52.70000,ug m-3,R
CT3,NO,16/01/2017 18:00,78.90000,ug m-3,R
CT3,NO,16/01/2017 19:00,115.80000,ug m-3,R
CT3,NO,16/01/2017 20:00,55.40000,ug m-3,R
CT3,NO,16/01/2017 21:00,47.30000,ug m-3,R
CT3,NO,16/01/2017 22:00,41.60000,ug m-3,R
CT3,NO,16/01/2017 23:00,70.90000,ug m-3,R
CT3,NO,17/01/2017 00:00,45.00000,ug m-3,R
CT3,NO,17/01/2017 01:00,6.60000,ug m-3,R
CT3,NO,17/01/2017 02:00,5.70000,ug m-3,R
CT3,NO,17/01/2017 03:00,4.30000,ug m-3,R
CT3,NO,17/01/2017 04:00,5.50000,ug m-3,R
CT3,NO,17/01/2017 05:00,34.00000,ug m-3,R
CT3,NO,17/01/2017 06:00,63.80000,ug m-3,R
CT3,NO,17/01/2017 07:00,52.90000,ug m-3,R
CT3,NO,17/01/2017 08:00,98.70000,ug m-3,R
CT3,NO,17/01/2017 09:00,101.80000,ug m-3,R
CT3,NO,17/01/2017 10:00,100.40000,ug m-3,R
CT3,NO,17/01/2017 11:00,56.30000,ug m-3,R
CT3,NO,17/01/2017 12:00,35.60000,ug m-3,R
CT3,NO,17/01/2017 13:00,18.90000,ug m-3,R
CT3,NO,17/01/2017 14:00,27.60000,ug m-3,R
CT3,NO,17/01/2017 15:00,14.50000,ug m-3,R
CT3,NO,17/01/2017 16:00,52.50000,ug m-3,R
CT3,NO,17/01/2017 17:00,48.80000,ug m-3,R
CT3,NO,17/01/2017 18:00,75.10000,ug m-3,R
CT3,NO,17/01/2017 19:00,68.10000,ug m-3,R
CT3,NO,17/01/2017 20:00,55.00000,ug m-3,R
CT3,NO,17/01/2017 21:00,36.00000,ug m-3,R
CT3,NO,17/01/2017 22:00,35.50000,ug m-3,R
CT3,NO,17/01/2017 23:00,27.00000,ug m-3,R
CT3,NO,18/01/2017 00:00,13.40000,ug m-3,R
CT3,NO,18/01/2017 01:00,16.70000,ug m-3,R
CT3,NO,18/01/2017 02:00,13.80000,ug m-3,R
CT3,NO,18/01/2017 03:00,12.10000,ug m-3,R
CT3,NO,18/01/2017 04:00,30.60000,ug m-3,R
CT3,NO,18/01/2017 05:00,149.60001,ug m-3,R
CT3,NO,18/01/2017 06:00,232.89999,ug m-3,R
CT3,NO,18/01/2017 07:00,240.39999,ug m-3,R
CT3,NO,18/01/2017 08:00,344.29999,ug m-3,R
CT3,NO,18/01/2017 09:00,326.29999,ug m-3,R
CT3,NO,18/01/2017 10:00,216.70000,ug m-3,R
CT3,NO,18/01/2017 11:00,78.80000,ug m-3,R
CT3,NO,18/01/2017 12:00,79.80000,ug m-3,R
CT3,NO,18/01/2017 13:00,118.90000,ug m-3,R
CT3,NO,18/01/2017 14:00,81.50000,ug m-3,R
CT3,NO,18/01/2017 15:00,84.30000,ug m-3,R
CT3,NO,18/01/2017 16:00,74.30000,ug m-3,R
CT3,NO,18/01/2017 17:00,97.40000,ug m-3,R
CT3,NO,18/01/2017 18:00,105.30000,ug m-3,R
CT3,NO,18/01/2017 19:00,89.00000,ug m-3,R
CT3,NO,18/01/2017 20:00,87.40000,ug m-3,R
CT3,NO,18/01/2017 21:00,84.00000,ug m-3,R
CT3,NO,18/01/2017 22:00,80.40000,ug m-3,R
CT3,NO,18/01/2017 23:00,107.50000,ug m-3,R
CT3,NO,19/01/2017 00:00,97.20000,ug m-3,R
CT3,NO,19/01/2017 01:00,49.90000,ug m-3,R
CT3,NO,19/01/2017 02:00,60.50000,ug m-3,R
CT3,NO,19/01/2017 03:00,58.30000,ug m-3,R
CT3,NO,19/01/2017 04:00,63.00000,ug m-3,R
CT3,NO,19/01/2017 05:00,39.30000,ug m-3,R
CT3,NO,19/01/2017 06:00,68.20000,ug m-3,R
CT3,NO,19/01/2017 07:00,96.30000,ug m-3,R
CT3,NO,19/01/2017 08:00,109.40000,ug m-3,R
CT3,NO,19/01/2017 09:00,137.39999,ug m-3,R
CT3,NO,19/01/2017 10:00,135.39999,ug m-3,R
CT3,NO,19/01/2017 11:00,107.50000,ug m-3,R
CT3,NO,19/01/2017 12:00,83.00000,ug m-3,R
CT3,NO,19/01/2017 13:00,76.00000,ug m-3,R
CT3,NO,19/01/2017 14:00,68.10000,ug m-3,R
CT3,NO,19/01/2017 15:00,71.60000,ug m-3,R
CT3,NO,19/01/2017 16:00,68.80000,ug m-3,R
