t,Price
2004-08-19,50.2162
2004-08-20,54.2075
2004-08-23,54.7531
2004-08-24,52.4859
2004-08-25,53.0514
2004-08-26,54.0073
2004-08-27,53.1265
2004-08-30,51.0545
2004-08-31,51.2347
2004-09-01,50.1736
2004-09-02,50.8042
2004-09-03,50.0535
2004-09-07,50.8393
2004-09-08,51.1996
2004-09-09,51.2046
2004-09-10,52.7161
2004-09-13,53.8021
2004-09-14,55.7991
2004-09-15,56.0543
2004-09-16,57.0403
2004-09-17,58.802
2004-09-20,59.7379
2004-09-21,58.9772
2004-09-22,59.2474
2004-09-23,60.4686
2004-09-24,59.9731
2004-09-27,59.1874
2004-09-28,63.4915
2004-09-29,65.6036
2004-09-30,64.8629
2004-10-01,66.3543
2004-10-04,67.5955
2004-10-05,69.2521
2004-10-06,68.6065
2004-10-07,69.4923
2004-10-08,68.9318
2004-10-11,67.6956
2004-10-12,68.7666
2004-10-13,70.5183
2004-10-14,71.0689
2004-10-15,72.1249
2004-10-18,74.6523
2004-10-19,74.0417
2004-10-20,70.3131
2004-10-21,74.7625
2004-10-22,86.2986
2004-10-25,93.7909
2004-10-26,90.9882
2004-10-27,93.0752
2004-10-28,96.7438
2004-10-29,95.4125
2004-11-01,98.1101
2004-11-02,97.5295
2004-11-03,95.928
2004-11-04,92.4396
2004-11-05,84.7571
2004-11-08,86.3587
2004-11-09,84.4318
2004-11-10,84.0114
2004-11-11,91.5988
2004-11-12,91.0883
2004-11-15,92.5247
2004-11-16,86.3562
2004-11-17,86.3337
2004-11-18,83.8513
2004-11-19,84.7822
2004-11-22,82.6301
2004-11-23,83.8413
2004-11-24,87.4648
2004-11-26,89.782
2004-11-29,90.6128
2004-11-30,91.0783
2004-12-01,90.0673
2004-12-02,89.787
2004-12-03,90.2875
2004-12-06,88.2305
2004-12-07,85.7981
2004-12-08,85.0724
2004-12-09,86.7991
2004-12-10,85.9082
2004-12-13,85.3077
2004-12-14,89.4317
2004-12-15,89.9772
2004-12-16,88.3206
2004-12-17,90.1273
2004-12-20,92.5997
2004-12-21,91.9641
2004-12-22,93.2404
2004-12-23,94.0411
2004-12-27,96.0481
2004-12-28,96.4735
2004-12-29,96.5436
2004-12-30,98.8958
2004-12-31,96.4885
2005-01-03,101.4533
2005-01-04,97.3443
2005-01-05,96.8488
2005-01-06,94.3665
2005-01-07,97.019
2005-01-10,97.6246
2005-01-11,96.8639
2005-01-12,97.7848
2005-01-13,97.7597
2005-01-14,100.082
2005-01-18,102.0489
2005-01-19,98.7457
2005-01-20,97.0541
2005-01-21,94.2313
2005-01-24,90.4476
2005-01-25,88.6459
2005-01-26,94.7118
2005-01-27,94.1312
2005-01-28,95.2623
2005-01-31,97.9049
2005-02-01,96.0431
2005-02-02,103.0799
2005-02-03,105.5323
2005-02-04,102.2791
2005-02-07,98.1101
2005-02-08,99.4163
2005-02-09,95.8829
2005-02-10,94.0812
2005-02-11,93.7909
2005-02-14,96.5886
2005-02-15,97.7097
2005-02-16,99.3012
2005-02-17,99.046
2005-02-18,99.071
2005-02-22,95.7778
2005-02-23,97.0691
2005-02-24,94.5366
2005-02-25,93.0251
2005-02-28,94.0862
2005-03-01,93.1202
2005-03-02,92.6798
2005-03-03,93.5932
2005-03-04,93.0402
2005-03-07,94.4966
2005-03-08,92.6898
2005-03-09,90.763
2005-03-10,90.0773
2005-03-11,88.9862
2005-03-14,87.5799
2005-03-15,89.3916
2005-03-16,87.8852
2005-03-17,89.732
2005-03-18,90.1073
2005-03-21,90.5277
2005-03-22,89.3866
2005-03-23,89.5768
2005-03-24,89.7119
2005-03-28,90.798
2005-03-29,89.8721
2005-03-30,90.3125
2005-03-31,90.3426
2005-04-01,90.1073
2005-04-04,92.7349
2005-04-05,94.3765
2005-04-06,94.7018
2005-04-07,96.974
2005-04-08,96.1181
2005-04-11,96.7087
2005-04-12,97.0716
2005-04-13,96.5586
2005-04-14,95.8179
2005-04-15,92.5897
2005-04-18,93.5757
2005-04-19,95.7928
2005-04-20,99.1461
2005-04-21,102.2091
2005-04-22,108.0097
2005-04-25,111.8734
2005-04-26,109.4811
2005-04-27,109.9966
2005-04-28,109.8314
2005-04-29,110.1067
2005-05-02,111.2528
2005-05-03,113.2047
2005-05-04,114.3608
2005-05-05,113.6001
2005-05-06,114.1206
2005-05-09,113.1196
