Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
RI2,TMP,1/1/2019 0:00,9,oC,P
RI2,TMP,2/1/2019 0:00,6,oC,P
RI2,TMP,3/1/2019 0:00,5,oC,P
RI2,TMP,4/1/2019 0:00,4,oC,P
RI2,TMP,5/1/2019 0:00,5,oC,P
RI2,TMP,6/1/2019 0:00,8,oC,P
RI2,TMP,7/1/2019 0:00,10,oC,P
RI2,TMP,8/1/2019 0:00,7,oC,P
RI2,TMP,9/1/2019 0:00,4,oC,P
RI2,TMP,10/1/2019 0:00,4,oC,P
RI2,TMP,11/1/2019 0:00,8,oC,P
RI2,TMP,12/1/2019 0:00,9,oC,P
RI2,TMP,13/01/2019 00:00,11,oC,P
RI2,TMP,14/01/2019 00:00,8,oC,P
RI2,TMP,15/01/2019 00:00,7,oC,P
RI2,TMP,16/01/2019 00:00,7,oC,P
RI2,TMP,17/01/2019 00:00,3,oC,P
RI2,TMP,18/01/2019 00:00,3,oC,P
RI2,TMP,19/01/2019 00:00,4,oC,P
RI2,TMP,20/01/2019 00:00,3,oC,P
RI2,TMP,21/01/2019 00:00,3,oC,P
RI2,TMP,22/01/2019 00:00,3,oC,P
RI2,TMP,23/01/2019 00:00,,oC,P
RI2,TMP,24/01/2019 00:00,,oC,P
RI2,TMP,25/01/2019 00:00,,oC,P
RI2,TMP,26/01/2019 00:00,8,oC,P
RI2,TMP,27/01/2019 00:00,5,oC,P
RI2,TMP,28/01/2019 00:00,3,oC,P
RI2,TMP,29/01/2019 00:00,3,oC,P
RI2,TMP,30/01/2019 00:00,1,oC,P
RI2,TMP,31/01/2019 00:00,0,oC,P
RI2,TMP,1/2/2019 0:00,2,oC,P
RI2,TMP,2/2/2019 0:00,3,oC,P
RI2,TMP,3/2/2019 0:00,3,oC,P
RI2,TMP,4/2/2019 0:00,7,oC,P
RI2,TMP,5/2/2019 0:00,7,oC,P
RI2,TMP,6/2/2019 0:00,9,oC,P
RI2,TMP,7/2/2019 0:00,8,oC,P
RI2,TMP,8/2/2019 0:00,9,oC,P
RI2,TMP,9/2/2019 0:00,8,oC,P
RI2,TMP,10/2/2019 0:00,6,oC,P
RI2,TMP,11/2/2019 0:00,5,oC,P
RI2,TMP,12/2/2019 0:00,7,oC,P
RI2,TMP,13/02/2019 00:00,8,oC,P
RI2,TMP,14/02/2019 00:00,6,oC,P
RI2,TMP,15/02/2019 00:00,7,oC,P
RI2,TMP,16/02/2019 00:00,9,oC,P
RI2,TMP,17/02/2019 00:00,10,oC,P
RI2,TMP,18/02/2019 00:00,8,oC,P
RI2,TMP,19/02/2019 00:00,7,oC,P
RI2,TMP,20/02/2019 00:00,9,oC,P
RI2,TMP,21/02/2019 00:00,10,oC,P
RI2,TMP,22/02/2019 00:00,10,oC,P
RI2,TMP,23/02/2019 00:00,11,oC,P
RI2,TMP,24/02/2019 00:00,9,oC,P
RI2,TMP,25/02/2019 00:00,10,oC,P
RI2,TMP,26/02/2019 00:00,11,oC,P
RI2,TMP,27/02/2019 00:00,10,oC,P
RI2,TMP,28/02/2019 00:00,9,oC,P
RI2,TMP,1/3/2019 0:00,10,oC,P
RI2,TMP,2/3/2019 0:00,11,oC,P
RI2,TMP,3/3/2019 0:00,11,oC,P
RI2,TMP,4/3/2019 0:00,6,oC,P
RI2,TMP,5/3/2019 0:00,8,oC,P
RI2,TMP,6/3/2019 0:00,10,oC,P
RI2,TMP,7/3/2019 0:00,8,oC,P
RI2,TMP,8/3/2019 0:00,8,oC,P
