DateTime,Temperature,Humidity,Wind_Speed,Wind_Direction,NO2_Location_A,NO2_Location_B,NO2_Location_C
1/1/2020 0:00,2.1805286,87,1.484318,75.96376,39.23,52.88,62.37
1/1/2020 1:00,1.4905287,89,2.7416782,113.19859,38.3,44.95,52.53
1/1/2020 2:00,1.6905286,85,3.563818,135,,48.4,54.8
1/1/2020 3:00,1.4305286,84,2.8116899,129.80557,37.28,47.18,50.8
1/1/2020 4:00,0.84052867,86,1.8,126.869896,29.97,41.48,54.43
1/1/2020 5:00,1.1605287,80,3.0547013,135,30.35,43.18,54.2
1/1/2020 6:00,1.6805286,72,4.072935,135,32.18,38.8,72.48
1/1/2020 7:00,1.7005286,71,5.3999996,126.869896,,40.95,82.88
1/1/2020 8:00,1.3005286,73,5.00128,120.25643,37,42.75,95.53
1/1/2020 9:00,0.41052866,80,2.968636,104.03624,37.2,43.65,115
1/1/2020 10:00,-0.30947134,86,2.5959969,123.69006,38.98,45.1,93
1/1/2020 11:00,1.1405287,82,5.95906,115.01689,41.53,49.9,81.68
1/1/2020 12:00,3.4205287,74,10.390226,104.03624,43.93,56.68,77.83
1/1/2020 13:00,4.7305284,69,9.114471,99.09027,43.05,55.95,78.4
1/1/2020 14:00,5.7205286,66,6.924738,81.02737,41.05,58.85,84.8
1/1/2020 15:00,6.8105288,64,6.0347,72.64597,43.58,57.88,66.95
1/1/2020 16:00,6.9605284,67,5.0911684,8.130096,42.85,57.4,70.8
1/1/2020 17:00,5.5505285,71,8.287822,325.6197,41.58,56.5,71.35
1/1/2020 18:00,4.1205287,72,5.1919937,326.30994,43.53,52.45,49.68
1/1/2020 19:00,3.6005285,73,0.35999998,180,45.6,46.78,47
1/1/2020 20:00,3.4205287,76,4.1046314,127.874985,40.88,42.25,39.7
1/1/2020 21:00,3.4905286,77,5.3999996,126.869896,36.6,43.15,28.73
1/1/2020 22:00,3.3605285,80,4.6102495,128.6598,37,48.33,32.55
1/1/2020 23:00,3.1505284,82,3.563818,135,27.58,27.65,24.75
1/2/2020 0:00,2.9805286,83,3.396233,147.99461,14.15,37.45,19.8
1/2/2020 1:00,3.0205286,83,4.0249224,153.43495,,29.82,17.83
1/2/2020 2:00,3.1205285,83,4.8965297,143.97263,9.95,30.54,18.38
1/2/2020 3:00,3.1405284,83,4.6102495,141.34018,8.18,28.14,18.25
1/2/2020 4:00,3.0605285,84,3.219938,116.56505,8.68,24.97,13
1/2/2020 5:00,2.3805285,86,3.6179552,84.289406,9.1,24.75,12.3
1/2/2020 6:00,1.9805287,86,4.6938252,94.398705,10.05,24.58,22.33
1/2/2020 7:00,2.1605287,84,5.2416787,105.9454,10.95,26.82,31.78
1/2/2020 8:00,2.0205286,86,6.297428,120.963745,13.08,30.46,27.63
1/2/2020 9:00,1.6105287,87,8.217153,118.81079,18.23,31.13,24.93
1/2/2020 10:00,1.5605286,89,7.9036193,120.06859,17.98,33.96,21.7
1/2/2020 11:00,2.4505286,88,7.0911775,113.96249,16.58,41.37,29.78
1/2/2020 12:00,3.6505284,85,8.891344,111.37062,19.6,42.85,20.98
1/2/2020 13:00,4.9105287,83,8.311245,107.650116,21.78,45.19,19.7
1/2/2020 14:00,6.4905286,70,7.69592,100.784294,17.2,44.35,28.48
1/2/2020 15:00,7.6505284,67,6.489992,93.179825,15.33,41.94,36.58
1/2/2020 16:00,8.090529,68,6.12,89.99999,19.8,45.27,47.25
1/2/2020 17:00,7.9505286,69,4.68,89.99999,19.65,40.49,43.58
1/2/2020 18:00,7.4405284,70,4.2136917,109.9831,19.93,41.03,34.23
1/2/2020 19:00,6.6105285,73,4.8965297,143.97263,17.9,37.66,31.95
1/2/2020 20:00,6.0005283,70,5.815978,158.1986,18.33,35.7,28.1
1/2/2020 21:00,4.4505286,60,7.4128532,150.94539,18.45,45.02,28.9
1/2/2020 22:00,4.1405287,64,6.8777895,137.1211,17.25,39.78,34.43
1/2/2020 23:00,4.8505287,66,8.373386,115.46334,17.38,26.6,30.18
1/3/2020 0:00,4.000529,69,10.365251,110.323135,11.6,21.9,30.83
1/3/2020 1:00,2.9405286,77,9.107359,108.434944,9.23,14.02,19.47
1/3/2020 2:00,2.3105285,85,9.255571,103.49573,8.83,12.15,15.8
1/3/2020 3:00,2.0405285,88,8.905908,104.03624,6.2,8.78,17.68
1/3/2020 4:00,2.5705285,86,8.766573,109.17901,5.7,7.53,13.88
1/3/2020 5:00,2.7605286,85,9.605998,102.99461,6.08,7.28,30.5
1/3/2020 6:00,2.9505286,85,10.041354,104.534454,8.3,10.38,25.45
1/3/2020 7:00,2.9205287,87,10.483357,105.9454,8.03,13.45,33.43
1/3/2020 8:00,3.6805286,82,9.360001,112.61986,11.05,17.23,34.2
1/3/2020 9:00,4.7805285,75,7.968939,108.434944,10.33,19.15,35.13
1/3/2020 10:00,5.8805285,70,6.989936,124.508514,10.13,22.7,26.28
1/3/2020 11:00,7.5205283,65,0.71999997,180,11.02,32.9,31.68
1/3/2020 12:00,9.670529,63,10.24578,288.43494,11.43,28.48,30.4
1/3/2020 13:00,11.200529,56,22.007162,273.75174,10.08,34.15,28.48
1/3/2020 14:00,10.750529,59,20.674158,262.99872,10.73,,30.03
1/3/2020 15:00,11.660529,58,21.046917,257.15228,10.6,25.4,34.88
1/3/2020 16:00,11.930529,63,20.907913,267.03906,12.95,32.55,34.5
1/3/2020 17:00,10.330529,76,20.523155,271.0051,15.03,23.85,36.75
1/3/2020 18:00,9.270529,82,20.163212,271.02304,20.5,30.35,29.65
1/3/2020 19:00,8.460529,83,17.313717,266.42368,21.88,,34.45
1/3/2020 20:00,7.8005285,83,16.327497,255.96376,28.8,28.85,42.75
1/3/2020 21:00,7.3605285,82,16.92383,246.16125,47.4,46.75,53.25
1/3/2020 22:00,7.4105287,82,14.986553,245.89777,40.82,,65.2
1/3/2020 23:00,7.5305285,84,14.799459,251.56506,,26.4,62
1/4/2020 0:00,7.8805285,84,15.034041,253.30075,12.77,24.65,58.9
1/4/2020 1:00,7.8405285,83,13.905509,248.7495,12,27.38,51.1
1/4/2020 2:00,8.160529,82,14.24163,249.27444,12.6,23.35,41.43
1/4/2020 3:00,8.070529,85,14.241629,253.85567,,27.55,51.4
1/4/2020 4:00,7.9505286,86,13.708391,256.3287,14.13,20.65,49.13
1/4/2020 5:00,7.7705283,87,13.1041975,249.0755,19.35,26.95,58.85
1/4/2020 6:00,7.8505287,86,13.450708,254.47589,29.35,46.2,73.3
1/4/2020 7:00,7.5305285,90,14.408997,282.99463,35.08,46.8,86.25
1/4/2020 8:00,7.0505285,92,16.485485,301.6075,25.48,66.15,83.48
1/4/2020 9:00,5.8105288,95,15.137133,334.65384,19.23,63.73,93.2
1/4/2020 10:00,4.7805285,90,13.891522,328.78162,16.25,35.25,95.7
1/4/2020 11:00,4.8305287,83,14.007655,334.0935,17.17,39.53,97.75
1/4/2020 12:00,5.2005286,79,15.716793,339.9048,13.98,33.38,91.38
1/4/2020 13:00,5.4605284,78,15.137133,334.65384,10,33.55,65.73
1/4/2020 14:00,7.1605287,62,13.044722,309.40067,10.1,,70.83
1/4/2020 15:00,7.6905284,59,14.336861,298.49567,12.15,,69.2
1/4/2020 16:00,7.6305285,59,16.394829,289.23068,13.6,14.2,80.3
1/4/2020 17:00,6.9805284,64,16.766108,284.93143,16.23,19.7,76.15
1/4/2020 18:00,5.6805286,70,14.05845,283.32452,11.35,19.13,68.45
1/4/2020 19:00,4.6505284,74,13.004921,274.76364,11.33,18.28,63.33
1/4/2020 20:00,3.9905286,76,11.901798,266.53177,14.3,21.9,56.9
1/4/2020 21:00,3.4105287,80,10.823973,266.1859,16.53,25.28,46.58
1/4/2020 22:00,2.9305286,82,9.72,270,15.58,22.58,47.98
1/4/2020 23:00,2.4605286,84,8.311245,265.03027,15.2,18.38,39.23
1/5/2020 0:00,2.1905286,84,6.9527545,248.7495,8.94,15.38,15.1
1/5/2020 1:00,2.4805286,84,7.24486,243.43495,8.61,13.3,13.4
1/5/2020 2:00,3.0305285,83,5.8603754,259.38034,9.82,12.8,14.03
1/5/2020 3:00,3.0505285,84,4.0249224,259.69516,10.91,14.33,14.8
1/5/2020 4:00,2.9905286,85,2.16,270,13.64,13.58,16.03
1/5/2020 5:00,2.9305286,86,0.8049845,333.43497,18.41,17.63,45
1/5/2020 6:00,2.7105286,87,1.08,89.99999,25.67,27.08,53.73
1/5/2020 7:00,2.3605285,89,3.6,89.99999,27.56,26.45,41.78
1/5/2020 8:00,2.1705287,89,5.04,89.99999,20.24,20.83,31.68
1/5/2020 9:00,1.9205287,91,5.0911684,98.1301,15.67,16.1,29.78
1/5/2020 10:00,2.1105285,90,5.1544156,102.09476,13.95,16.63,34.85
1/5/2020 11:00,2.9605286,87,7.172949,107.52557,13.82,23.15,30.43
1/5/2020 12:00,3.8505285,80,8.049845,100.30484,12.81,18.72,37.9
1/5/2020 13:00,4.5205283,77,8.64,89.99999,12.11,9.13,23.23
1/5/2020 14:00,6.0305285,69,12.979984,86.82017,12.57,19.55,27.73
1/5/2020 15:00,6.7705283,65,12.496719,78.36636,11.45,16.05,22.65
1/5/2020 16:00,7.1005287,64,9.659814,63.43495,12.92,13.7,28.33
1/5/2020 17:00,6.8105288,66,6.193674,54.46232,15.23,14.47,26.63
1/5/2020 18:00,5.9905286,70,3.6179552,84.289406,12.7,23.18,25.95
1/5/2020 19:00,4.790529,73,6.989936,124.508514,16.39,20.88,15.58
1/5/2020 20:00,2.3905284,81,8.854829,116.56505,18.52,23.8,17.98
1/5/2020 21:00,1.2305287,86,8.049845,116.56505,18.59,20.03,21.08
1/5/2020 22:00,0.85052866,88,7.9036193,120.06859,16.23,20.08,16.3
1/5/2020 23:00,0.6305287,88,8.891343,121.759476,10.58,18.25,14.6
1/6/2020 0:00,0.48052865,88,9.339208,117.55281,8.07,7.8,13.23
1/6/2020 1:00,0.54052866,88,9.085988,123.69006,5.5,5.93,10.53
1/6/2020 2:00,0.55052865,88,9.290511,125.537674,5.53,6.45,11.2
1/6/2020 3:00,0.5105286,88,9.220499,128.6598,6.13,9.38,12.1
1/6/2020 4:00,0.33052868,88,9.422101,133.45184,7.65,12.2,24.13
1/6/2020 5:00,0.48052865,84,9.957108,139.39871,13.65,28.78,43.75
1/6/2020 6:00,0.72052866,77,9.686609,131.98721,17.48,27.87,64.9
1/6/2020 7:00,0.8205287,72,8.161764,131.42366,22,27.15,46.83
1/6/2020 8:00,-0.42947134,82,5.3517847,132.27368,19.47,30.05,37.5
1/6/2020 9:00,-0.82947135,82,3.8939953,123.69006,14.6,,40.65
1/6/2020 10:00,-0.34947133,76,6.489992,123.69006,11.6,15.63,38.2
1/6/2020 11:00,1.5205287,65,7.10031,120.465546,10.75,8.95,53.13
1/6/2020 12:00,2.9305286,59,7.42159,112.83366,11.2,16.4,66.25
1/6/2020 13:00,4.040529,61,8.699793,114.44395,10.8,12.3,80.23
1/6/2020 14:00,6.040529,65,12.144331,101.97613,14.3,16.5,103.03
1/6/2020 15:00,7.5005283,63,12.371645,98.36588,14.95,12.58,67.7
1/6/2020 16:00,8.080529,62,11.542478,93.576324,10.88,14.55,48.33
1/6/2020 17:00,7.8605285,65,10.464798,93.945175,12.45,14.4,59.48
1/6/2020 18:00,6.8005285,71,8.557102,104.620865,13.85,11.78,50.05
1/6/2020 19:00,5.6005287,75,6.297428,120.963745,13.38,9.68,38.98
1/6/2020 20:00,5.0105286,71,6.6087217,150.64224,20.75,18.88,44.3
1/6/2020 21:00,3.7205286,68,6.725354,164.47589,21.9,18,44.45
1/6/2020 22:00,2.3205285,78,7.342588,168.69006,21.35,13.25,46.93
1/6/2020 23:00,3.2205286,72,7.342588,168.69006,15.92,13.15,30.05
1/7/2020 0:00,4.3405285,66,8.225035,156.8014,6.73,10.38,10.98
1/7/2020 1:00,4.3005285,64,6.9153743,141.34018,6.27,10.88,7.77
1/7/2020 2:00,3.8605285,64,6.489992,146.30994,8,,9.25
1/7/2020 3:00,2.7905285,70,6.725354,164.47589,7.68,8.98,10.65
1/7/2020 4:00,2.7405286,73,6.12,180,9.43,11.25,20.88
1/7/2020 5:00,4.3705287,75,5.2416787,195.9454,14.53,15.42,35.05
1/7/2020 6:00,5.5905285,79,5.3517847,222.27368,15.75,16.48,47.03
1/7/2020 7:00,5.7505283,80,9.726665,267.8789,17.15,22.93,44.55
1/7/2020 8:00,4.1405287,86,11.609651,262.875,16.9,21.88,38.73
1/7/2020 9:00,3.7205286,87,10.829959,254.57785,11.06,17.78,32.15
1/7/2020 10:00,4.1605287,84,10.1376915,263.8845,17.15,13.9,34.03
1/7/2020 11:00,5.1905284,81,13.679999,270,15.55,15.58,38.48
1/7/2020 12:00,6.040529,79,15.986595,277.76517,17.25,19.23,40.4
1/7/2020 13:00,6.3705287,79,17.026896,283.4486,19.7,20.23,34.35
1/7/2020 14:00,7.4505286,73,15.141414,288.00415,20.75,24.37,37.3
1/7/2020 15:00,7.6705284,71,14.241629,286.14435,20.3,19.25,43.75
1/7/2020 16:00,7.6905284,69,12.0694,287.35403,19.87,22.35,35.38
1/7/2020 17:00,7.3905287,73,9.83268,293.7495,18.25,15.93,29.03
1/7/2020 18:00,6.8605285,77,7.754637,291.8014,15.67,17.4,21.5
1/7/2020 19:00,6.5005283,79,4.73506,278.74615,13.5,21.65,16.63
1/7/2020 20:00,6.0905285,78,3.2599385,263.65982,12.8,18.63,21.45
1/7/2020 21:00,5.7505283,79,2.8116899,230.19443,,17.1,19.7
1/7/2020 22:00,5.8305287,78,4.896529,162.89728,15.47,17.35,19.65
1/7/2020 23:00,5.6205287,79,7.386582,133.02505,12.9,14.6,11.8
1/8/2020 0:00,4.4005284,85,9.085988,123.69006,15.07,19.53,25.68
1/8/2020 1:00,3.5205286,88,7.9932966,125.83765,11.63,17.55,22.1
1/8/2020 2:00,3.1005285,87,7.491114,125.21759,6.7,7.8,11.05
1/8/2020 3:00,2.8405285,88,7.42159,129.09386,4.88,6.9,10.4
1/8/2020 4:00,2.6205285,90,6.763786,115.20112,5.02,6.73,12.4
1/8/2020 5:00,2.3705285,90,7.289444,110.22486,7.5,9.7,14.98
1/8/2020 6:00,2.1705287,94,6.763786,115.20112,7.2,9.7,30.05
1/8/2020 7:00,2.3205285,93,6.763786,115.20112,9.15,12,22.15
1/8/2020 8:00,1.7205287,95,8.311245,107.650116,9.65,13.6,26.25
1/8/2020 9:00,1.4605286,94,8.654986,106.92751,6.7,10.05,27.63
1/8/2020 10:00,1.7505287,91,8.759178,99.46232,6.95,9.48,25
1/8/2020 11:00,3.2905285,85,7.42159,104.03624,8.13,12.27,30.28
1/8/2020 12:00,6.0105286,77,7.7879906,123.69006,7.6,9.35,31.8
1/8/2020 13:00,8.480529,63,6.9527545,111.2505,6.98,8.83,25.95
1/8/2020 14:00,7.3605285,61,4.5536795,108.434944,6.73,9.75,25.13
1/8/2020 15:00,8.310529,63,1.4399999,89.99999,5.58,12.33,36.25
1/8/2020 16:00,8.630529,68,1.1384199,71.56504,7.55,15.03,38.93
1/8/2020 17:00,8.460529,72,3.2399998,89.99999,7.5,12.78,33.58
1/8/2020 18:00,8.200529,70,6.28713,113.62937,8.55,10.28,20.1
1/8/2020 19:00,8.590529,75,8.0899935,122.27564,8.38,10.25,21.13
1/8/2020 20:00,7.8205285,86,8.891344,111.37062,7.25,9.23,15.75
1/8/2020 21:00,7.5605288,91,8.049845,116.56505,9.1,12.1,39.95
1/8/2020 22:00,8.340529,87,7.491114,125.21759,10,14.23,20.38
1/8/2020 23:00,8.750529,85,7.145796,130.91438,11.5,13.6,18.73
1/9/2020 0:00,8.950529,84,6.9153743,128.6598,63.9,65.38,76.78
1/9/2020 1:00,9.250529,83,6.9153743,128.6598,56.23,58.63,65
1/9/2020 2:00,9.490529,82,7.2,126.869896,53.15,51.77,64.13
1/9/2020 3:00,9.630529,81,7.289445,122.90524,46.23,45.15,58.68
1/9/2020 4:00,9.710529,80,7.7879906,123.69006,42.9,42.93,68.58
1/9/2020 5:00,9.650529,80,7.4128532,119.054596,43.8,41.6,75.75
1/9/2020 6:00,9.810529,79,8.049845,116.56505,43.6,48.47,90.25
1/9/2020 7:00,9.740529,78,7.5942082,121.429565,43.73,56.7,97.93
1/9/2020 8:00,9.840529,77,7.2,126.869896,39.53,61.43,94.65
1/9/2020 9:00,9.910529,77,7.9036193,120.06859,32.03,42.48,79.25
1/9/2020 10:00,9.870529,77,8.699793,114.44395,15.35,37.9,46.87
1/9/2020 11:00,9.730529,82,6.28713,113.62937,19.58,29.33,42.37
1/9/2020 12:00,10.810529,81,4.452954,104.03624,18.03,25.67,40.71
1/9/2020 13:00,12.440529,74,2.1897945,80.537674,24.25,36.45,44.35
1/9/2020 14:00,12.420529,62,6.489992,93.179825,23.25,32,44.75
1/9/2020 15:00,13.200529,60,1.609969,26.565033,16.83,30.2,43.38
1/9/2020 16:00,12.770529,67,6.3690495,317.29062,18.35,24.67,60.15
1/9/2020 17:00,12.270529,71,1.5273507,225,24.33,27.8,64.67
1/9/2020 18:00,11.960529,56,9.346143,164.35776,35.3,30.68,47.5
1/9/2020 19:00,9.940529,35,14.512064,203.38522,31.15,50.95,42.88
1/9/2020 20:00,9.530529,37,11.91812,205.01689,14.27,20.35,31.79
1/9/2020 21:00,9.510529,39,10.144082,207.47443,12.98,,47.3
1/9/2020 22:00,9.660529,40,10.028439,201.0375,18,22.33,31.48
1/9/2020 23:00,9.0505295,42,12.387348,215.53769,20.9,22.03,26.6
1/10/2020 0:00,8.990529,41,10.514218,231.95296,9,11.23,18.78
1/10/2020 1:00,8.8005295,43,6.4096174,308.15723,9.07,13.9,21.5
1/10/2020 2:00,9.230529,52,19.576189,237.77124,13.58,15.28,23.9
1/10/2020 3:00,8.850529,63,24.850431,231.46982,12.98,18.35,16.35
1/10/2020 4:00,7.9305286,63,27.026386,228.2397,15.65,19.1,17.6
1/10/2020 5:00,7.790529,67,20.696087,229.93921,16.2,17.6,37.2
1/10/2020 6:00,7.5705285,66,16.575644,214.38034,22.7,21.6,54.95
1/10/2020 7:00,6.9105287,67,19.08,211.8908,35.03,38.33,82.5
1/10/2020 8:00,6.1705284,69,18.671474,213.99646,35.8,42.68,72.03
1/10/2020 9:00,5.540529,71,17.654688,219.2072,35.28,,58.3
1/10/2020 10:00,6.0805287,70,14.512064,226.0051,29.42,40.05,68.13
1/10/2020 11:00,8.3005295,64,19.164717,241.99083,27.72,35.75,53.98
1/10/2020 12:00,9.510529,60,28.348713,252.25534,22.1,31.03,49.83
1/10/2020 13:00,9.980529,61,29.723444,258.82617,20.33,30.63,62.08
1/10/2020 14:00,11.010529,59,28.19285,264.87183,16.63,27.3,65.33
1/10/2020 15:00,10.920529,60,26.400545,264.52264,17.1,24.92,50.88
1/10/2020 16:00,10.790529,61,24.490587,268.3153,23.18,29.53,80.7
1/10/2020 17:00,10.070529,65,23.4,270,33.68,24.43,96.03
1/10/2020 18:00,9.330529,71,19.44,270,41.35,,75.48
1/10/2020 19:00,8.210529,80,15.119999,270,46.07,35.75,65.23
1/10/2020 20:00,7.1505284,87,12.959999,270,28,21.92,48.55
1/10/2020 21:00,7.3105288,87,12.964998,268.40887,19.1,18.65,54.9
1/10/2020 22:00,7.1305285,87,13.684735,271.50745,13.05,15.25,43.3
1/10/2020 23:00,6.7505283,85,12.605142,271.6366,13.33,17.2,33.5
1/11/2020 0:00,6.1505284,86,12.224107,283.627,22,16.78,34.33
1/11/2020 1:00,5.5505285,88,9.693296,291.8014,12.43,11.4,25.03
1/11/2020 2:00,5.5305285,89,7.7879906,303.69006,9.68,,19.68
